title,author,category,read_date,description,rating,review,cover_image,page_count
행복한 질문,오나리 유코,스리픽,2025-07-01,,3.0,귀여운 내용의 동화책. 스무살 때 읽었던 책을 다시 보니 감회가 새로웠다. 만난지 얼마 안 된 연인이 있다면 선물하기 좋음.,/static/uploads/807241bc-fd3e-436e-aa3c-44b9701ce5b1.jpg,56
있으려나 서점,요시타케 신스케,스리픽,2025-07-01,아기자기한 그림과 어린 시절로 돌아간 듯한 몽글몽글한 이야기. 책과 서점 자체를 좋아하는 사람이 쓴 상상력 풍부한 귀여운 책.,3.5,그래 가끔은 이렇게 귀여운 책도 읽어줘야지! 위그든 씨의 사탕가게 이야기처럼 다 읽고나면 기분이 좋아지는 책이었다.,/static/uploads/9788934981237.jpg,104
줄무늬 파자마를 입은 소년,존 보인,스리픽,2025-07-01,,4.5,아무것도 모르는 어린 아이들이 나치즘에 희생당하는 슬픈 이야기...읽기 난이도 <하>여서 술술 읽혀지는 건 좋았음. 중학생 친구들에게 추천👍🏻,/static/uploads/d7eccd1b-a1b6-4bc2-8c0f-f015fd6a32d6.jpeg,353
인간실격,다자이오사무,북클럽,2025-05-01,,4.5,,/static/uploads/32a6369a-be8e-4342-be11-4229b9faa6dd.jpeg,126
네버 라이,프리다 맥파든,스리픽,2025-06-01,범인은 이런 사람일거야... 라고 함부로 단정짓지 마세요😉,4.5,쇼츠를 3시간 본 것 같은 도파민! 한번 시작하면 끝까지 쭉 달려야 하니 밤에 읽기 시작하지 말 것,/static/uploads/aee659fd-21b4-47fc-9d67-c741cbcde9a3.jpeg,264
이갈리아의 딸들,게르드 브란튼베르그,스리픽,2025-07-01,,5.0,2017년 고급 읽기와 글쓰기 시간에 교수님과 함께 읽었던 책. 이 시대에 이런 책을? 이라는 생각이 들만큼 파격적인 내용. 통쾌하면서도 씁쓸한 이야기.,/static/uploads/d10e108a-dee4-49f6-a35d-6f4cc0f4a396.jpg,530
곰탕 1,김영탁,스리픽,2025-07-01,,3.5,음식과 타임리프의 조화라... 소재가 흥미로움. 이 책 읽고나서 잘 끓인 곰탕이 먹고 싶어져서 국밥집에 갔다. 곰탕이 맛있었다. ,/static/uploads/1dfb67c2-b3fa-41c3-9feb-b5232d0fafc1.jpg,688
곰탕 2,김영탁,스리픽,2025-07-01,,4.0,과거로 회귀한 사람들이 돈을 버는 방법이 '이거' 라고?! 아이디어가 너무 대단하다. 나는 미나리곰탕을 좋아한다.,/static/uploads/cee343a6-e565-4b7f-a532-907d9550e847.jpg,368
음악소설집,김애란,스리픽,2025-07-01,,3.5,예린이의 추천으로 읽기 시작한 책,/static/uploads/27612920-2f19-412e-a163-714b7ca3e8c6.jpg,318
나를 사랑하고 싶어,와타나베 폰,스리픽,2025-07-01,,3.5,가정에서 학대를 받은 작가의 이야기... 저는 그정도로 힘들진 않긴 한데요 ㅠ... 그래도 함께 힘내요!!!!!,/static/uploads/58f7123d-546b-42b6-969c-798888626e9f.jpg,110
